Date,Municipality,Count
2020-09-11, ottawa, 6
2020-09-11, waterloo, 1
2020-09-14, ottawa, 6
2020-09-14, waterloo, 1
2020-09-15, ottawa, 11
2020-09-15, waterloo, 1
2020-09-16, ottawa, 17
2020-09-16, waterloo, 1
2020-09-17, ottawa, 21
2020-09-17, waterloo, 1
2020-09-18, ottawa, 24
2020-09-18, waterloo, 1
2020-09-21, ottawa, 25
2020-09-21, waterloo, 1
2020-09-22, ottawa, 40
2020-09-22, waterloo, 1
2020-09-23, ottawa, 45
2020-09-23, waterloo, 1
2020-09-24, ottawa, 55
2020-09-24, waterloo, 2
2020-09-25, ottawa, 70
2020-09-25, waterloo, 2
2020-09-28, ottawa, 79
2020-09-28, waterloo, 2
2020-09-29, ottawa, 79
2020-09-29, waterloo, 1
2020-09-30, ottawa, 83
2020-09-30, waterloo, 1
2020-10-01, ottawa, 105
2020-10-01, waterloo, 1
2020-10-02, ottawa, 112
2020-10-02, waterloo, 2
2020-10-05, ottawa, 128
2020-10-05, waterloo, 2
2020-10-06, ottawa, 129
2020-10-06, waterloo, 2
2020-10-07, ottawa, 159
2020-10-07, waterloo, 2
2020-10-08, ottawa, 189
2020-10-08, waterloo, 2
2020-10-09, ottawa, 193
2020-10-09, waterloo, 2
2020-10-13, ottawa, 204
2020-10-13, waterloo, 2
2020-10-14, ottawa, 197
2020-10-14, waterloo, 2
2020-10-15, ottawa, 204
2020-10-15, waterloo, 3
2020-10-16, ottawa, 215
2020-10-16, waterloo, 3
2020-10-19, ottawa, 217
2020-10-19, waterloo, 3
2020-10-20, ottawa, 211
2020-10-20, waterloo, 3
2020-10-21, ottawa, 202
2020-10-21, waterloo, 3
2020-10-22, ottawa, 178
2020-10-22, waterloo, 2
2020-10-23, ottawa, 165
2020-10-23, waterloo, 2
2020-10-26, ottawa, 185
2020-10-26, waterloo, 2
2020-10-27, ottawa, 174
2020-10-27, waterloo, 2
2020-10-28, ottawa, 178
2020-10-28, waterloo, 3
2020-10-29, ottawa, 165
